A Song Is Born	1 Hours 53 Minutes
Da Invicta ao Sonoro	0 Hours 50 Minutes
Let Me Have My Son	1 Hours 59 Minutes
My Son the Pornographer	0 Hours 45 Minutes
Son of Hercules	1 Hours 20 Minutes
Son of Tutti Frutti	1 Hours 36 Minutes
Son of a Lion	1 Hours 32 Minutes
Song of the Blind Girl	1 Hours 37 Minutes
Song of the Radio	1 Hours 35 Minutes
Sons of Steel	1 Hours 37 Minutes
The Eye of the Son	0 Hours 53 Minutes
The I-go King and His Son	1 Hours 34 Minutes
The Song of the Homesickness	1 Hours 35 Minutes
Tragedy at the Songhwa River	1 Hours 20 Minutes
