2 Talaat Harb	1 Hours 55 Minutes
A Sublime Love Story: Barsaat	2 Hours 23 Minutes
Ade Raaga Ade Haadu	2 Hours 39 Minutes
Bazaar	2 Hours 0 Minutes
Chhaap	2 Hours 10 Minutes
Dohaa	1 Hours 32 Minutes
Ennathaan Un Kathai	2 Hours 21 Minutes
Estoy taan enamorada	1 Hours 30 Minutes
Harmagedon - Erään maailman loppu	1 Hours 11 Minutes
Ishaqzaade	2 Hours 0 Minutes
Jaaneman	1 Hours 50 Minutes
Kavaludaari	2 Hours 23 Minutes
Pyaar Ke Side Effects	2 Hours 12 Minutes
Saa til søs	1 Hours 39 Minutes
Sawaal	2 Hours 3 Minutes
Sei dou yau waak	1 Hours 30 Minutes
Suddilage Kathaawa	2 Hours 23 Minutes
Uyarum Njan Naadake	2 Hours 9 Minutes
Vivaah	2 Hours 33 Minutes
Yeh Teraa Ghar Yeh Meraa Ghar	2 Hours 55 Minutes
